Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg),Tahun,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Cirebon,5586.0,0.0,0.0,1700.0,7550.0,4832.0,200.0,160.0,1470.0,1656.0,700.0,433.0,0.0,100.0,3930.0,192598.0,2023,2520.0,0.0,0.0,700.0,2986.0,2260.0,200.0,160.0,60.0,175.0,300.0,75.0,0.0,100.0,331.0,53226.0
Majalengka,1463323.0,327404.0,0.0,51.0,1960414.0,245588.0,0.0,130.0,1800.0,1882.0,1377.0,2968.0,0.0,200.0,54165.0,168885.0,2023,460680.0,66060.0,0.0,25.0,682820.0,62255.0,0.0,50.0,50.0,161.0,459.0,528.0,0.0,50.0,2200.0,45200.0
Sumedang,1730433.0,303246.0,0.0,7379084.0,2654936.0,820965.0,0.0,33500.0,0.0,0.0,0.0,0.0,0.0,0.0,22383.0,3000.0,2023,489268.0,75237.0,0.0,2412204.0,797323.0,284261.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,750.0
Indramayu,2495.0,0.0,0.0,36.0,4561.0,413.0,1575.0,21.0,0.0,5079.0,0.0,1025.0,159.0,405.0,15732.0,14343.0,2023,1135.0,0.0,0.0,14.0,1686.0,183.0,1025.0,31.0,0.0,3306.0,0.0,1025.0,75.0,75.0,1976.0,3112.0
Subang,3255848.0,3370.0,0.0,3221657.0,1722855.0,2910136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391250.0,360835.0,2023,473540.0,1640.0,0.0,647540.0,307775.0,387333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44250.0,38850.0
Purwakarta,44913.0,60639.0,0.0,22069.0,20799.0,11772.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,670.0,20700.0,38659.0,2023,16705.0,42574.0,0.0,7559.0,11148.0,3239.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,355.0,2450.0,8481.0
Karawang,4721.0,0.0,0.0,7640.0,30701.0,45605.0,18500.0,1200.0,4800.0,7320.0,160.0,1500.0,2250.0,1735.0,7800.0,80060.0,2023,2000.0,0.0,0.0,13725.0,15583.0,15580.0,10000.0,900.0,400.0,800.0,40.0,1000.0,1500.0,2305.0,650.0,25120.0
Bekasi,17170.0,0.0,0.0,721180.0,508150.0,3006630.0,84000.0,200.0,0.0,0.0,0.0,0.0,150300.0,70400.0,0.0,209657.0,2023,6010.0,0.0,0.0,406500.0,74300.0,526125.0,22500.0,200.0,0.0,0.0,0.0,0.0,28500.0,30000.0,0.0,68619.0
Bandung Barat,545466.0,827120.0,0.0,26732.0,234392.0,101154.0,400.0,16114.0,32580.0,7980.0,3000.0,1094.0,2076.0,10400.0,53915.0,1125100.0,2023,481022.0,163300.0,0.0,19039.0,115790.0,30276.0,400.0,1840.0,935.0,508.0,750.0,1030.0,2040.0,10250.0,2715.0,42430.0
Pangandaran,155137.0,1075299.0,0.0,42392.0,34774.0,10850.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,13500.0,2023,106908.0,343079.0,0.0,38442.0,26023.0,7000.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4500.0
Kota Bogor,18038.0,535.0,0.0,6004.0,10108.0,3920.0,1748.0,4050.0,0.0,0.0,5360.0,729.0,2189.0,5760.0,6000.0,5525.0,2023,2925.0,295.0,0.0,1610.0,2685.0,480.0,560.0,1045.0,0.0,0.0,1850.0,225.0,560.0,1658.0,600.0,1075.0
Kota Sukabumi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Bandung,2100.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,30.0,2023,140.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0
